,PC1,PC2,PC3,cell_type
100.19.007,-1.384539810409593,3.812751584783549,1.3331476380522127,B
100.19.008,-1.0391140064903863,3.060798008565369,-0.7850255346884144,Fibroblast
100.19.009,-1.2996632669714363,3.070262409293914,1.1150721993168542,
100.19.01,-1.4704540754893598,3.6102902773296974,-1.0215129348929999,Endothelial
100.19.011,-1.4319104587008307,3.675079337966303,-1.376208619741062,Fibroblast
100.19.02,-1.3485083667600017,4.4369473017703065,-0.43846955877902927,Epithelial
100.19.026,-2.494059012860278,6.083492673795918,-0.8030447916118149,Epithelial
100.19.03,-3.1832190928745887,6.530382142601278,0.2722046407066096,T_CD3
100.19.031,-2.0791850510094947,4.226065098235888,-0.769207624543431,Fibroblast
100.19.035,-1.4319955630769772,4.355183044143624,-0.22966754417129906,T_CD3
100.19.036,-1.969134993775111,4.086963098376235,0.1581569266410399,T_CD3
100.19.037,-1.8873330347939234,4.540449014801299,-1.0022833684024093,T_CD3
100.19.042,-1.8426433052518583,3.594331889322265,2.291052757551677,
100.19.047,-1.3613797335728601,3.752602331645631,-0.1917081740328189,T_CD3
100.19.048,-1.0968556712178295,3.3515751515749415,1.7463013881214604,
100.19.051,-2.0660727880204,5.19076577545547,-0.20014122398086057,Epithelial
100.19.052,-1.675959358159826,3.734622787885228,-1.0731881912485128,Epithelial
100.19.054,-2.615297030453889,4.54769135073272,0.8695098774843806,T_CD3
100.19.057,-1.9313362821512654,4.241404224396918,-0.3199045648680773,Endothelial
100.19.06,-1.6030446247290757,4.520096127960967,0.0967194063799927,T_CD3
100.2.002,-1.8690264421264595,2.3500770752433455,0.9132648912274519,Endothelial
100.2.003,-2.509196159889435,3.9752772627943678,0.3371940284685466,Endothelial
100.2.019,-0.5045947461071123,3.256184740285561,1.3385955084729406,B
100.2.028,-1.18223763185757,3.917488902029457,2.312400488593616,B
100.2.031,-0.9904547434492776,3.5304250733732165,1.9326185599915686,B
100.2.035,-2.554152165440537,5.128729435044292,3.5392038884764414,B
100.2.036,-1.9924371466214659,5.028991255561531,-0.03573345338887949,T_CD8A
100.2.04,-1.8008299240181698,3.9914955829773526,0.2700873379078129,Endothelial
